,Name,Games Played,Wins,Losses,Win %,Kills,Deaths,KDR,Kills as Imposter,Kills Per Imposter Game,Imposter Games,Imposter Wins,Imposter Win %,Crewmate Games,Crewmate Wins,Crewmate Win %,Neutral Games,Neutral Wins,Neutral Win %,Lover Games,Lover Wins,Lover Win %,Total Tasks,Tasks Completed,Task Completion %,All Tasks Completed,Voted out,Emergency Meetings,Bodies Reported,Voted out First,First Death of Game,Death in First Round,Disconnected,Rage Quit
0,Josh,398,168,228,42.21,166,185,0.9,154,1.71,90,39,43.33,288,127,44.1,20,3,15,4,0,0,1469,714,48.6,25,71,49,92,28,36,44,1,0
1,Vik,383,192,191,50.13,184,183,1.01,167,2.14,78,46,58.97,286,139,48.6,19,8,42.11,1,0,0,1424,379,26.62,14,55,37,100,25,35,43,1,1
2,Ethan,373,158,216,42.36,184,190,0.97,154,2.14,72,30,41.67,282,122,43.26,19,5,26.32,3,1,33.33,1380,795,57.61,48,51,21,83,30,44,53,1,0
3,Tobi,372,167,205,44.89,192,167,1.15,165,2.17,76,32,42.11,275,131,47.64,21,4,19.05,2,0,0,1249,878,70.3,65,67,27,84,30,37,50,1,1
4,Simon,358,188,169,52.51,157,174,0.9,142,2.41,59,44,74.58,273,139,50.92,26,5,19.23,1,0,0,1323,666,50.34,41,32,50,128,16,38,50,0,0
5,Harry,342,150,191,43.86,120,163,0.74,105,1.98,53,25,47.17,267,121,45.32,22,4,18.18,1,0,0,1341,516,38.48,21,46,36,88,25,29,41,1,1
6,JJ,310,132,178,42.58,179,126,1.42,148,1.87,79,37,46.84,213,92,43.19,18,3,16.67,4,0,0,1001,206,20.58,9,93,65,38,62,32,46,4,0
7,Deji,257,105,151,40.86,150,114,1.32,104,2.17,48,17,35.42,181,80,44.2,28,9,32.14,2,0,0,1257,212,16.87,9,66,38,24,45,28,36,2,0
8,Lazarbeam,238,113,125,47.48,120,106,1.13,105,2.19,48,27,56.25,178,82,46.07,12,4,33.33,1,0,0,1114,292,26.21,7,38,32,71,18,19,23,0,0
9,Viz,176,79,96,44.89,73,91,0.8,60,2.14,28,12,42.86,129,63,48.84,19,4,21.05,0,0,0,768,259,33.72,10,22,8,34,14,15,18,1,0
10,Lachlan,168,64,104,38.1,87,87,1,73,2.09,35,12,34.29,124,50,40.32,9,2,22.22,0,0,0,679,182,26.8,6,26,13,51,11,10,17,0,0
11,Randolph,168,62,106,36.9,71,84,0.85,70,2.06,34,11,32.35,129,50,38.76,5,1,20,0,0,0,588,250,42.52,11,34,12,35,12,18,24,0,0
12,DannyAarons,136,61,75,44.85,83,56,1.48,74,2.06,36,14,38.89,90,45,50,10,2,20,1,0,0,575,105,18.26,,27,11,41,14,11,16,2,0
13,PieFace,91,39,52,42.86,44,43,1.02,42,1.91,22,12,54.55,65,27,41.54,4,0,0,1,0,0,415,234,56.39,17,13,8,27,5,14,15,1,0
14,Ellum,54,26,28,48.15,27,26,1.04,27,2.7,10,4,40,44,22,50,0,0,0,0,0,0,195,78,40,3,15,3,11,9,6,5,0,0
15,Ginge,39,11,28,28.21,18,21,0.86,13,1.44,9,0,0,25,10,40,5,1,20,0,0,0,178,85,47.75,4,7,7,12,5,4,2,0,0
16,JME,35,18,17,51.43,32,18,1.78,27,2.25,12,4,33.33,21,14,66.67,2,0,0,0,0,0,121,51,42.15,2,8,11,5,1,3,3,0,0
17,Callux,34,16,18,47.06,10,21,0.48,8,2,4,2,50,26,12,46.15,4,2,50,0,0,0,98,25,25.51,,6,3,4,2,5,5,0,0
18,ChrisMD,34,13,21,38.24,13,13,1,13,4.33,3,1,33.33,31,12,38.71,0,0,0,0,0,0,155,29,18.71,,7,4,6,3,4,4,0,0
19,Calfreezy,32,12,20,37.5,13,15,0.87,11,1.38,8,4,50,24,8,33.33,0,0,0,0,0,0,120,21,17.5,,7,5,8,4,3,2,0,0
20,MaxFosh,32,15,18,46.88,19,15,1.27,18,1.8,10,2,20,20,12,60,2,0,0,2,1,50,122,59,48.36,2,7,4,11,5,1,2,0,0
21,JackSucksAtLife,27,14,13,51.85,3,11,0.27,2,2,1,1,100,23,10,43.48,3,1,33.33,0,0,0,168,20,11.9,,0,2,3,0,3,6,0,0
22,George Clarkey,25,9,16,36,13,13,1,11,1.83,6,2,33.33,16,7,43.75,3,0,0,0,0,0,107,23,21.5,,2,0,3,2,3,4,0,0
23,ArthurTV,22,10,12,45.45,6,7,0.86,6,1.5,4,2,50,18,8,44.44,0,0,0,0,0,0,122,52,42.62,1,2,3,4,1,2,4,0,0
24,WillNE,20,10,10,50,5,4,1.25,4,2,2,0,0,18,10,55.56,0,0,0,0,0,0,77,27,35.06,2,9,1,1,3,0,0,0,0
25,Theo,18,7,11,38.89,5,10,0.5,5,1,5,2,40,13,5,38.46,0,0,0,0,0,0,35,4,11.43,,3,0,1,2,1,2,0,0
26,Chip,17,8,9,47.06,4,11,0.36,3,3,1,0,0,14,8,57.14,2,0,0,1,0,0,92,24,26.09,,2,1,5,1,4,4,1,0
27,AB,16,6,10,37.5,4,2,2,3,1,3,0,0,13,6,46.15,0,0,0,1,0,0,85,42,49.41,2,6,0,4,2,1,1,0,0
28,MilkInABag,15,10,5,66.67,9,7,1.29,9,3,3,3,100,12,7,58.33,0,0,0,0,0,0,35,20,57.14,1,0,0,4,0,2,2,0,0
29,Memeulous,12,3,7,25,3,9,0.33,2,0.5,4,0,0,4,3,75,4,0,0,0,0,0,31,5,16.13,,2,0,1,1,4,5,0,0
30,AliA,10,3,7,30,0,9,0,0,0,0,0,0,9,3,33.33,1,0,0,0,0,0,63,11,17.46,,0,1,2,0,1,1,0,0
31,Courage,10,5,5,50,14,4,3.5,14,3.5,4,2,50,6,3,50,0,0,0,0,0,0,36,18,50,1,3,0,2,2,1,1,0,0
32,Fresh,10,4,6,40,4,3,1.33,4,4,1,1,100,9,3,33.33,0,0,0,0,0,0,,,,,2,1,4,0,2,2,0,0
33,Ninja,10,5,5,50,0,9,0,0,0,0,0,0,10,5,50,0,0,0,0,0,0,64,20,31.25,1,0,1,2,0,2,1,0,0
34,Anita,9,2,7,22.22,1,3,0.33,1,1,1,1,100,8,1,12.5,0,0,0,0,0,0,56,11,19.64,,1,0,1,1,1,2,0,0
35,Ciaran,9,5,4,55.56,0,6,0,0,0,0,0,0,8,5,62.5,1,0,0,0,0,0,56,24,42.86,1,0,0,0,0,2,2,1,0
36,Muselk,9,6,3,66.67,3,4,0.75,3,3,1,1,100,8,5,62.5,0,0,0,0,0,0,,,,,1,0,4,1,1,1,0,0
37,Tom Syndicate,9,2,7,22.22,2,4,0.5,2,2,1,1,100,8,1,12.5,0,0,0,0,0,0,56,5,8.93,,1,0,3,1,2,2,0,0
38,Burn Peanut,8,2,6,25,0,0,0,0,0,1,1,100,7,1,14.29,0,0,0,0,0,0,56,14,25,,0,0,0,0,0,0,0,0
39,Joe Weller,8,7,1,87.5,2,3,0.67,2,2,1,1,100,7,6,85.71,0,0,0,0,0,0,56,9,16.07,,0,0,1,0,0,0,0,0
40,Louu,8,0,8,0,0,4,0,0,0,1,0,0,6,0,0,1,0,0,0,0,0,48,20,41.67,,3,1,3,2,2,2,0,0
41,TommyInnit,8,2,6,25,6,1,6,6,2,3,0,0,5,2,40,0,0,0,0,0,0,,,,,4,1,2,1,0,0,1,0
42,Tubbo,8,6,2,75,2,3,0.67,2,2,1,1,100,7,5,71.43,0,0,0,0,0,0,,,,,1,2,1,0,1,2,0,0
43,Wilbur,8,3,5,37.5,1,3,0.33,1,0.5,2,0,0,6,3,50,0,0,0,0,0,0,,,,,3,1,1,1,1,1,0,0
44,Apex,7,2,5,28.57,2,3,0.67,2,2,1,0,0,6,2,33.33,0,0,0,0,0,0,,,,,1,0,3,0,2,2,0,0
45,Jarvis,7,2,5,28.57,1,6,0.17,1,1,1,0,0,6,2,33.33,0,0,0,0,0,0,,,,,1,0,0,0,0,2,0,0
46,Jynxzi,7,0,7,0,2,5,0.4,2,1,2,0,0,1,0,0,4,0,0,0,0,0,7,0,0,,1,0,4,0,0,1,0,0
47,Kay,7,5,2,71.43,5,1,5,5,2.5,2,2,100,5,3,60,0,0,0,0,0,0,,,,,0,0,1,0,1,1,0,0
48,Marlon,7,6,1,85.71,0,3,0,0,0,1,1,100,6,5,83.33,0,0,0,1,0,0,35,0,0,,0,0,3,0,0,1,0,0
49,Chandler,6,4,2,66.67,1,1,1,1,1,1,1,100,5,3,60,0,0,0,0,0,0,,,,,0,0,4,0,0,0,0,0
50,Karl,6,3,3,50,0,1,0,0,0,0,0,0,6,3,50,0,0,0,0,0,0,,,,,2,1,5,1,0,0,0,0
51,Liam,6,3,3,50,0,3,0,0,0,0,0,0,6,3,50,0,0,0,0,0,0,,,,,0,0,3,0,0,0,0,0
52,MrBeast,6,3,3,50,4,0,4,4,2,2,1,50,4,2,50,0,0,0,0,0,0,,,,,1,2,1,1,0,0,0,0
53,Dream,5,4,1,80,0,3,0,0,0,0,0,0,5,4,80,0,0,0,0,0,0,,,,,0,2,3,0,2,2,0,0
54,JackSepticEye,5,5,0,100,3,0,3,3,3,1,1,100,4,4,100,0,0,0,0,0,0,,,,,0,0,1,0,0,0,0,0
55,Pewdiepie,5,4,1,80,0,2,0,0,0,0,0,0,5,4,80,0,0,0,0,0,0,,,,,0,2,2,0,0,0,0,0
56,Finn,3,1,2,33.33,0,1,0,0,0,0,0,0,3,1,33.33,0,0,0,0,0,0,21,5,23.81,,0,0,1,0,0,0,0,0
